"","Country","Code","Year","Unsafe.water.source..deaths.","Poor.sanitation..deaths.","No.access.to.handwashing.facility..deaths.","Household.air.pollution..deaths.","Outdoor.air.pollution..deaths.","Non.exclusive.breastfeeding..deaths.","Discontinued.breastfeeding..deaths.","Child.wasting..deaths.","Child.stunting..deaths.","Low.birth.weight..deaths.","Secondhand.smoke..deaths.","Alcohol.use..deaths.","Drug.use..deaths.","Diet.low.in.fruits..deaths.","Diet.low.in.vegetables..deaths.","Unsafe.sex..deaths.","Low.physical.activity..deaths.","High.blood.sugar..deaths.","High.cholesterol..deaths.","High.body.mass.index..obesity...deaths.","High.blood.pressure..deaths.","Smoking..deaths.","Iron.deficiency..deaths.","Zinc.deficiency..deaths.","Vitamin.A.deficiency..deaths.","Low.bone.mineral.density..deaths.","Life.expectancy"
"54","Antigua and Barbuda","ATG",2006,0.824024756782,0.421034865933,1.47058025642,1.57495704897,17.4921574561,0.341474181249,0.0256040054529,1.28181160422,0.104975718892,5.23598894273,7.50980578464,10.9830780117,4.14911260937,16.5060296982,17.2169533245,13.1776394764,13.565652552,96.2237928926,34.6340625798,67.0419710531,97.9639607847,10.1275900636,0.030062342367,0.0342217836097,0.0069368656157,1.64726569548,74.8
"55","Antigua and Barbuda","ATG",2010,0.766665491692,0.385625975503,1.38567402891,1.25415111162,15.7125593418,0.32573589065,0.0233086697911,1.15830141156,0.0957343494072,4.02643015241,7.0081367385,13.0273708364,4.50334748841,15.1823551431,16.460182847,10.9429301343,13.0474385956,92.8725155978,33.7585934738,71.6244650755,97.009334163,10.033200474,0.0293405237845,0.0297033313097,0.00565016346109,1.67416243445,75.6
"56","Antigua and Barbuda","ATG",2016,0.734170202427,0.363971628138,1.36939358357,0.949280525872,18.6877804106,0.284679862511,0.0194421133514,1.01139903087,0.0807254827374,3.26917341606,7.2838691172,15.810272222,5.55769594497,16.4344527836,17.7372056622,10.8762237907,13.8183063254,98.6621652434,36.2713556061,84.4685460045,106.52933832,11.4764639236,0.028744562886,0.025813764102,0.00394277661788,1.72408246719,NA
"57","Argentina","ARG",1990,765.065741803,563.081808263,622.44536016,4424.14137914,13808.3989893,395.699002019,31.7754544494,2371.2204911,169.819746339,5615.88455551,4532.14942157,18008.0885071,1574.46303552,12278.1582414,11594.2025307,2642.82603431,7675.84319986,25350.8481653,28527.2770788,31562.71031,65050.9474144,39378.2242725,29.2604380189,33.5068742082,4.77685569144,1076.49192832,NA
"58","Argentina","ARG",1995,515.018309596,348.332853426,483.323929121,3139.45428125,13859.4660795,280.822443327,20.5069145771,1652.66680357,129.448198186,4329.80561084,4544.91236755,15136.8225159,1995.70194209,10148.179988,10546.088681,3741.42595384,7238.60857567,27497.7318015,26654.1581368,32921.3911932,64210.568777,39852.7429191,24.0507438066,24.6312547976,2.77347527752,1117.05149275,NA
"59","Argentina","ARG",2000,368.45445112,222.369337226,452.087147032,2587.762884,14552.6694973,179.332111466,13.0157526965,979.934650835,70.611398011,3840.80046004,4943.47843973,11579.4474582,2395.34647251,7766.35175628,9951.29735642,3983.54622762,7150.88751845,29826.3122522,25831.8434621,34858.2125438,65004.0128677,41872.7023492,19.5800574379,17.0818601592,2.38262869832,1335.67030816,74.1
"60","Argentina","ARG",2005,282.275046086,140.216704807,485.688823897,2207.52232695,14846.8776109,130.740202691,8.37138094597,666.473753092,50.4388090059,3105.19853261,4898.19706258,10027.6385086,2653.09521211,7283.04258502,9974.72681012,4112.38267716,7224.9865797,31056.9412415,25858.2358217,35997.1502529,66376.8194867,42349.9775748,18.8962523052,12.4249410469,1.64981204081,1498.03278509,74.9
"61","Argentina","ARG",2006,272.788693005,129.367826168,490.217002566,2108.91421379,14889.450042,126.220867189,7.87964457183,617.781008009,48.0045318084,2965.43384586,4891.77314498,10024.9665358,2750.7604409,7062.37937869,9939.94125212,4205.57363055,7232.39514813,31108.8843115,25965.9558224,36253.1069011,66660.7463182,42397.4162778,19.4605407879,12.1200917176,1.54052371627,1527.64378737,75.2
"62","Argentina","ARG",2010,251.162009743,100.213899431,505.425413173,1706.63277598,15271.5104538,115.149905944,6.83740115735,498.324971555,41.0462486956,2677.80277737,5013.5361639,10472.6388861,3103.19174143,6340.43372501,9946.10328655,4329.02312227,7533.51437573,31747.7157092,27055.6985007,37966.4930609,69167.4356851,43059.2538284,20.1919459481,11.8085249792,1.29287597658,1596.74508303,75.5
"63","Argentina","ARG",2016,223.996314568,74.1201000558,483.443490855,1202.21908876,15610.535945,88.1571219316,5.44662043239,360.886029384,29.0494744914,2253.40617308,4972.1764083,12429.1447921,3715.21075004,5814.26155447,9653.59681862,4369.32487313,7831.00182455,33192.7362995,27639.1345743,41421.8636353,72068.9085406,43690.9440192,22.3605507878,9.35548271827,0.882902957404,1708.7485602,NA
"64","Armenia","ARM",1990,206.052020099,191.236101881,95.6374332632,2354.71126542,1840.58951728,233.304111511,23.9790822687,640.252025532,129.217729491,713.410793043,969.100162061,610.815851105,137.373042184,1664.61738675,890.839245495,157.642027097,971.395437203,1904.25102345,3447.29848679,2329.59518218,7563.61851834,4009.96501435,19.9461139883,22.9952323617,0.690657257403,73.3801459648,NA
"65","Armenia","ARM",1995,137.413300173,123.718465612,62.7714911959,2225.75799434,1901.2794411,126.500547102,13.3443907366,387.52294232,74.2013057199,396.680388306,983.507027848,647.059957864,177.438222108,2121.26776562,1137.99669837,164.680284436,1167.27514538,2676.04376458,4057.62395988,2892.53861664,9066.22080928,4859.37522656,17.5654326724,17.8134887578,0.447465555948,62.725520041,NA
"66","Armenia","ARM",2000,50.5503764077,44.7144969502,28.1182659126,1366.41175624,1851.32157958,48.0872934286,4.17269519143,174.840297072,29.0166817071,226.0125557,985.767937629,566.783228213,178.426892935,2149.32859897,1014.7468569,166.804836988,1167.552447,3031.41584796,3814.61769484,2980.42039938,8906.64163109,4561.77872657,12.79705585,5.87153055651,0.115403257421,54.8695746043,72
"67","Armenia","ARM",2005,18.385580494,16.1391183825,18.226853939,1268.82126158,2040.64911096,28.4274505197,1.71477814751,116.989132139,20.4409356541,190.444057309,941.126522639,680.781322508,238.586877238,2095.82347284,570.224301766,176.449878628,1229.55175643,3508.89779571,4004.74792219,3422.23443523,9296.60180127,4932.97244988,3.47014225301,2.26078802443,0.0251275834692,57.9948312095,73
"68","Armenia","ARM",2006,14.4427077409,12.713854701,17.0339755201,1238.7819677,2106.74333875,24.7491724471,1.36044492297,102.90545986,18.4501064275,181.197710814,953.801528481,738.318176277,260.809768016,2086.4148633,490.570773716,185.014639235,1249.53992006,3572.96251146,4100.81017733,3549.47551006,9434.05896582,5098.57146115,2.33614278796,1.92631753466,0.0190476439461,60.2106498384,72.9
"69","Armenia","ARM",2010,8.03437193082,7.21212739332,14.9365287429,866.881597797,2154.49580097,20.8218211108,0.735260079096,86.5465778667,17.0393634285,135.757334125,915.279221137,856.658828498,286.959283653,1756.36928464,218.025631362,185.891804429,1245.5827712,3599.10844948,4142.69163066,3690.57676457,9160.50362756,4904.82385182,1.39998019517,1.34950208769,0.0086570844302,62.7037862796,73.5
"70","Armenia","ARM",2016,5.33049017817,4.89839280767,12.1271813692,649.847781619,2074.66449077,16.406380947,0.487640524156,64.2559696803,11.0719105524,93.2321490125,878.38116814,1043.19894147,310.607005584,1546.90118701,234.558331962,169.898141312,1244.30263648,3452.57769724,4268.67880479,3725.33281668,8869.58172536,4346.19440691,1.29921367397,0.922428242948,0.00591534104441,65.1809841348,NA
"71","Australasia","",1990,9.39661473368,6.41667668118,38.7908046559,295.964924089,4632.32414693,12.3587657074,0.382635935173,36.5310309085,3.69631245975,615.823547858,1510.33731319,9920.00989276,1099.85799049,6483.34556383,6582.48425975,948.673112754,6536.53746971,12333.3866868,22705.5878289,15296.9043986,37616.9391818,25542.3794955,2.08687046402,1.1450111338,0.00950302741933,1004.15234861,NA
"72","Australasia","",1995,12.9188928954,7.67955573433,41.8134679005,122.087551249,4506.90987061,9.02954392158,0.418410089283,27.1387902878,2.48542090406,446.600231764,1448.09232883,7729.43048023,1474.55468614,6457.20484238,6103.69237197,1036.21460204,6480.2738086,13454.7694635,20857.7780728,16390.0779072,36497.2225376,24689.7171574,2.28644609974,1.0009537582,0.00687199779904,1072.52116228,NA
"73","Australasia","",2000,13.8165652807,6.77705198657,43.9196869651,108.165845272,4195.82971446,8.32864996499,0.531653520813,19.3816939049,1.71665700056,339.268412395,1401.89282443,6634.99861155,1772.67294686,6281.09942739,5699.3912914,635.267160222,6085.34548233,13912.467959,18567.6620939,16872.8502428,33264.3725083,23226.7778903,2.41258743789,0.820119042071,0.00644401515771,1293.90762164,NA
"74","Australasia","",2005,22.9945741785,8.33552643403,48.958206233,111.089552869,3753.94796096,9.78702009234,0.87434722576,18.8678496958,1.67185138739,336.362862226,1321.04672871,7046.39714969,1683.93833043,5929.1184054,5223.56144978,572.694344281,5734.14307381,14502.6929929,16828.3763926,17764.1149812,30285.3619969,22278.5862778,2.31581619245,0.744231806587,0.011085090126,1666.16182359,NA
"75","Australasia","",2006,26.9806193653,9.39430461469,51.6244767164,109.06348245,3633.76591977,10.2928668183,0.985741425533,19.1260379704,1.69323312,349.943745012,1314.19079057,7195.66856362,1716.29270862,5945.70506034,5203.1083878,598.861480643,5747.21548148,14855.9434621,16721.2297201,18186.2719973,30272.5491383,22497.8475406,2.54090044524,0.739181960639,0.0119975458191,1764.57258776,NA
"76","Australasia","",2010,42.0121662892,11.9772471721,59.925352368,89.4646479286,3135.65121191,10.094983729,1.11033795947,17.7666380324,1.58489239203,334.104043837,1246.13694001,8145.28917498,2006.94330893,5908.09576047,4987.22880396,578.655898535,5674.08065584,15573.7779749,15945.6719887,19276.248666,29573.9413851,23405.3935318,2.99338834649,0.703688332472,0.0130033584355,2151.16085147,NA
